decil,pd_min,pd_max,pd_mean_decil,n_obs,gamma_empirico,ic95_low,ic95_high,gamma_final,fonte
1,0.0,0.2070000022649765,0.15983618795871735,2222,0.20835913792960906,0.16288744635115832,0.2527354585961791,0.20835913792960906,empirico
2,0.2070000022649765,0.289000004529953,0.25085020065307617,3505,0.21382347052295905,0.1842240018269655,0.2445722018515656,0.21382347052295905,empirico
3,0.289000004529953,0.3659999966621399,0.3290349543094635,4978,0.22955719845833605,0.205958329309224,0.251935178287249,0.22955719845833605,empirico
4,0.3659999966621399,0.4440000057220459,0.40493881702423096,6536,0.2421902057772054,0.22484667441978368,0.2583473158483875,0.2421902057772054,empirico
5,0.4440000057220459,0.5249999761581421,0.46732041239738464,103,0.39473135459919856,0.24926150397352165,0.5604112498936148,0.39473135459919856,empirico
6,0.5249999761581421,0.6019999980926514,0.5504374504089355,16,,,,0.37117583977581015,extrapolacao_linear
7,0.6019999980926514,0.6729999780654907,0.6516000032424927,5,,,,0.4215011052544707,extrapolacao_linear
8,0.6729999780654907,0.7360000014305115,0.7044999897480011,0,,,,0.44781722510454414,extrapolacao_linear
9,0.7360000014305115,0.796999990940094,0.7664999961853027,0,,,,0.47866032560211147,extrapolacao_linear
10,0.796999990940094,1.01,0.8090000152587891,1,,,,0.4998027808171389,extrapolacao_linear
